model,lang_id,group,layer,n_layers,cos_mean,n_samples
whisper-large-v3,ta_in,?,28,32,0.889465,264
whisper-large-v3,ta_in,?,29,32,0.896653,264
whisper-large-v3,ta_in,?,30,32,0.893009,264
whisper-large-v3,ta_in,?,31,32,0.889642,264
whisper-large-v3,ta_in,?,32,32,0.88714,264
whisper-large-v3,cy_gb,?,1,32,0.965944,264
whisper-large-v3,cy_gb,?,2,32,0.924839,264
whisper-large-v3,cy_gb,?,3,32,0.94585,264
whisper-large-v3,cy_gb,?,4,32,0.940057,264
whisper-large-v3,cy_gb,?,5,32,0.929481,264
whisper-large-v3,cy_gb,?,6,32,0.952484,264
whisper-large-v3,cy_gb,?,7,32,0.939241,264
whisper-large-v3,cy_gb,?,8,32,0.916367,264
whisper-large-v3,cy_gb,?,9,32,0.923904,264
whisper-large-v3,cy_gb,?,10,32,0.916093,264
whisper-large-v3,cy_gb,?,11,32,0.961614,264
whisper-large-v3,cy_gb,?,12,32,0.940342,264
whisper-large-v3,cy_gb,?,13,32,0.931421,264
whisper-large-v3,cy_gb,?,14,32,0.957757,264
whisper-large-v3,cy_gb,?,15,32,0.933055,264
whisper-large-v3,cy_gb,?,16,32,0.951453,264
whisper-large-v3,cy_gb,?,17,32,0.957301,264
whisper-large-v3,cy_gb,?,18,32,0.942471,264
whisper-large-v3,cy_gb,?,19,32,0.954622,264
whisper-large-v3,cy_gb,?,20,32,0.953665,264
whisper-large-v3,cy_gb,?,21,32,0.957818,264
whisper-large-v3,cy_gb,?,22,32,0.951169,264
whisper-large-v3,cy_gb,?,23,32,0.946476,264
whisper-large-v3,cy_gb,?,24,32,0.935485,264
whisper-large-v3,cy_gb,?,25,32,0.915452,264
whisper-large-v3,cy_gb,?,26,32,0.916376,264
whisper-large-v3,cy_gb,?,27,32,0.90219,264
whisper-large-v3,cy_gb,?,28,32,0.881357,264
whisper-large-v3,cy_gb,?,29,32,0.890714,264
whisper-large-v3,cy_gb,?,30,32,0.890775,264
whisper-large-v3,cy_gb,?,31,32,0.888125,264
whisper-large-v3,cy_gb,?,32,32,0.889787,264
whisper-large-v3,th_th,tonal_mid,1,32,0.970515,264
whisper-large-v3,th_th,tonal_mid,2,32,0.935019,264
whisper-large-v3,th_th,tonal_mid,3,32,0.951185,264
whisper-large-v3,th_th,tonal_mid,4,32,0.944868,264
whisper-large-v3,th_th,tonal_mid,5,32,0.937213,264
whisper-large-v3,th_th,tonal_mid,6,32,0.956215,264
whisper-large-v3,th_th,tonal_mid,7,32,0.943875,264
whisper-large-v3,th_th,tonal_mid,8,32,0.926718,264
whisper-large-v3,th_th,tonal_mid,9,32,0.933029,264
whisper-large-v3,th_th,tonal_mid,10,32,0.924107,264
whisper-large-v3,th_th,tonal_mid,11,32,0.964763,264
whisper-large-v3,th_th,tonal_mid,12,32,0.943006,264
whisper-large-v3,th_th,tonal_mid,13,32,0.935404,264
whisper-large-v3,th_th,tonal_mid,14,32,0.959998,264
whisper-large-v3,th_th,tonal_mid,15,32,0.938145,264
whisper-large-v3,th_th,tonal_mid,16,32,0.9546,264
whisper-large-v3,th_th,tonal_mid,17,32,0.95891,264
